"시도(1)",2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019
"시도(1)",소재지 (개소),시설용량 (톤/일),1일평균 가동시간 (시간),시설수 (개소),처리량 (톤),설치비 (백만원),설치비 (백만원),설치비 (백만원),설치비 (백만원),연간유지관리비 (백만원),발생가스 이용현황 (N㎥/년),발생가스 이용현황 (N㎥/년),발생가스 이용현황 (N㎥/년),발생가스 이용현황 (N㎥/년),발생가스 이용현황 (N㎥/년),발생가스 이용현황 (N㎥/년),발생가스 이용현황 (N㎥/년),발생가스 이용현황 (N㎥/년),소재지 (개소),시설용량 (톤/일),1일평균 가동시간 (시간),시설수 (개소),처리량 (톤),설치비 (백만원),설치비 (백만원),설치비 (백만원),설치비 (백만원),연간유지관리비 (백만원),발생가스 이용현황 (N㎥/년),발생가스 이용현황 (N㎥/년),발생가스 이용현황 (N㎥/년),발생가스 이용현황 (N㎥/년),발생가스 이용현황 (N㎥/년),발생가스 이용현황 (N㎥/년),발생가스 이용현황 (N㎥/년),발생가스 이용현황 (N㎥/년),소재지 (개소),시설용량 (톤/일),1일평균 가동시간 (시간),시설수 (개소),처리량 (톤),설치비 (백만원),설치비 (백만원),설치비 (백만원),설치비 (백만원),연간유지관리비 (백만원),발생가스 이용현황 (N㎥/년),발생가스 이용현황 (N㎥/년),발생가스 이용현황 (N㎥/년),발생가스 이용현황 (N㎥/년),발생가스 이용현황 (N㎥/년),발생가스 이용현황 (N㎥/년),발생가스 이용현황 (N㎥/년),발생가스 이용현황 (N㎥/년),소재지 (개소),시설용량 (톤/일),1일평균 가동시간 (시간),시설수 (개소),처리량 (톤),설치비 (백만원),설치비 (백만원),설치비 (백만원),설치비 (백만원),연간유지관리비 (백만원),발생가스 이용현황 (N㎥/년),발생가스 이용현황 (N㎥/년),발생가스 이용현황 (N㎥/년),발생가스 이용현황 (N㎥/년),발생가스 이용현황 (N㎥/년),발생가스 이용현황 (N㎥/년),발생가스 이용현황 (N㎥/년),발생가스 이용현황 (N㎥/년),소재지 (개소),시설용량 (톤/일),1일평균 가동시간 (시간),시설수 (개소),처리량 (톤),설치비 (백만원),설치비 (백만원),설치비 (백만원),설치비 (백만원),연간유지관리비 (백만원),발생가스 이용현황 (N㎥/년),발생가스 이용현황 (N㎥/년),발생가스 이용현황 (N㎥/년),발생가스 이용현황 (N㎥/년),발생가스 이용현황 (N㎥/년),발생가스 이용현황 (N㎥/년),발생가스 이용현황 (N㎥/년),발생가스 이용현황 (N㎥/년),소재지 (개소),시설용량 (톤/일),1일평균 가동시간 (시간),시설수 (개소),처리량 (톤),설치비 (백만원),설치비 (백만원),설치비 (백만원),설치비 (백만원),연간유지관리비 (백만원),발생가스 이용현황 (N㎥/년),발생가스 이용현황 (N㎥/년),발생가스 이용현황 (N㎥/년),발생가스 이용현황 (N㎥/년),발생가스 이용현황 (N㎥/년),발생가스 이용현황 (N㎥/년),발생가스 이용현황 (N㎥/년),발생가스 이용현황 (N㎥/년),소재지 (개소),시설용량 (톤/일),1일평균 가동시간 (시간),시설수 (개소),처리량 (톤),설치비 (백만원),설치비 (백만원),설치비 (백만원),설치비 (백만원),연간유지관리비 (백만원),발생가스 이용현황 (N㎥/년),발생가스 이용현황 (N㎥/년),발생가스 이용현황 (N㎥/년),발생가스 이용현황 (N㎥/년),발생가스 이용현황 (N㎥/년),발생가스 이용현황 (N㎥/년),발생가스 이용현황 (N㎥/년),발생가스 이용현황 (N㎥/년),소재지 (개소),시설용량 (톤/일),1일평균 가동시간 (시간),시설수 (개소),처리량 (톤),설치비 (백만원),설치비 (백만원),설치비 (백만원),설치비 (백만원),연간유지관리비 (백만원),발생가스 이용현황 (N㎥/년),발생가스 이용현황 (N㎥/년),발생가스 이용현황 (N㎥/년),발생가스 이용현황 (N㎥/년),발생가스 이용현황 (N㎥/년),발생가스 이용현황 (N㎥/년),발생가스 이용현황 (N㎥/년),발생가스 이용현황 (N㎥/년),소재지 (개소),시설용량 (톤/일),1일평균 가동시간 (시간),시설수 (개소),처리량 (톤),잔재물발생및처리현황 (톤),잔재물발생및처리현황 (톤),잔재물발생및처리현황 (톤),잔재물발생및처리현황 (톤),설치비 (백만원),설치비 (백만원),설치비 (백만원),설치비 (백만원),연간유지관리비 (백만원),발생가스 이용현황 (N㎥/년),발생가스 이용현황 (N㎥/년),발생가스 이용현황 (N㎥/년),발생가스 이용현황 (N㎥/년),발생가스 이용현황 (N㎥/년),발생가스 이용현황 (N㎥/년),발생가스 이용현황 (N㎥/년),발생가스 이용현황 (N㎥/년),소재지 (개소),시설용량 (톤/일),1일평균 가동시간 (시간),처리량 (톤),잔재물발생및처리현황 (톤),잔재물발생및처리현황 (톤),잔재물발생및처리현황 (톤),잔재물발생및처리현황 (톤),잔재물발생및처리현황 (톤),설치비 (백만원),설치비 (백만원),설치비 (백만원),설치비 (백만원),연간유지관리비 (백만원),발생가스 이용현황 (N㎥/년),발생가스 이용현황 (N㎥/년),발생가스 이용현황 (N㎥/년),발생가스 이용현황 (N㎥/년),발생가스 이용현황 (N㎥/년),발생가스 이용현황 (N㎥/년),발생가스 이용현황 (N㎥/년),발생가스 이용현황 (N㎥/년)
"시도(1)",소계,소계,소계,소계,소계,계,국비,지방비,기타,소계,발생가스 포집량,발생가스 포집량,메탄가스(CH4) 활용량,메탄가스(CH4) 활용량,메탄가스(CH4) 활용량,메탄가스(CH4) 활용량,메탄가스(CH4) 활용량,메탄가스(CH4) 활용량,소계,소계,소계,소계,소계,계,국비,지방비,기타,소계,발생가스 포집량,발생가스 포집량,메탄가스(CH4) 활용량,메탄가스(CH4) 활용량,메탄가스(CH4) 활용량,메탄가스(CH4) 활용량,메탄가스(CH4) 활용량,메탄가스(CH4) 활용량,소계,소계,소계,소계,소계,계,국비,지방비,기타,소계,발생가스 포집량,발생가스 포집량,메탄가스(CH4) 활용량,메탄가스(CH4) 활용량,메탄가스(CH4) 활용량,메탄가스(CH4) 활용량,메탄가스(CH4) 활용량,메탄가스(CH4) 활용량,소계,소계,소계,소계,소계,계,국비,지방비,기타,소계,발생가스 포집량,발생가스 포집량,메탄가스(CH4) 활용량,메탄가스(CH4) 활용량,메탄가스(CH4) 활용량,메탄가스(CH4) 활용량,메탄가스(CH4) 활용량,메탄가스(CH4) 활용량,소계,소계,소계,소계,소계,계,국비,지방비,기타,소계,발생가스 포집량,발생가스 포집량,메탄가스(CH4) 활용량,메탄가스(CH4) 활용량,메탄가스(CH4) 활용량,메탄가스(CH4) 활용량,메탄가스(CH4) 활용량,메탄가스(CH4) 활용량,소계,소계,소계,소계,소계,계,국비,지방비,기타,소계,발생가스 포집량,발생가스 포집량,메탄가스(CH4) 활용량,메탄가스(CH4) 활용량,메탄가스(CH4) 활용량,메탄가스(CH4) 활용량,메탄가스(CH4) 활용량,메탄가스(CH4) 활용량,소계,소계,소계,소계,소계,계,국비,지방비,기타,소계,발생가스 포집량,발생가스 포집량,메탄가스(CH4) 활용량,메탄가스(CH4) 활용량,메탄가스(CH4) 활용량,메탄가스(CH4) 활용량,메탄가스(CH4) 활용량,메탄가스(CH4) 활용량,소계,소계,소계,소계,소계,계,국비,지방비,기타,소계,발생가스 포집량,발생가스 포집량,메탄가스(CH4) 활용량,메탄가스(CH4) 활용량,메탄가스(CH4) 활용량,메탄가스(CH4) 활용량,메탄가스(CH4) 활용량,메탄가스(CH4) 활용량,소계,소계,소계,소계,소계,계,재활용,소각,매립,계,국비,지방비,기타,소계,발생가스 포집량,발생가스 포집량,메탄가스(CH4) 활용량,메탄가스(CH4) 활용량,메탄가스(CH4) 활용량,메탄가스(CH4) 활용량,메탄가스(CH4) 활용량,메탄가스(CH4) 활용량,소계,소계,소계,소계,계,재활용,소각,매립,기타,계,국비,지방비,기타,소계,발생가스 포집량,발생가스 포집량,메탄가스(CH4) 활용량,메탄가스(CH4) 활용량,메탄가스(CH4) 활용량,메탄가스(CH4) 활용량,메탄가스(CH4) 활용량,메탄가스(CH4) 활용량
"시도(1)",소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,발생가스총포집량,발생가스 총 포집량 중 메탄가스량,에너지생산,에너지생산,에너지생산,에너지생산,에너지생산,에너지생산 외,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,발생가스총포집량,발생가스 총 포집량 중 메탄가스량,에너지생산,에너지생산,에너지생산,에너지생산,에너지생산,에너지생산 외,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,발생가스총포집량,발생가스 총 포집량 중 메탄가스량,에너지생산,에너지생산,에너지생산,에너지생산,에너지생산,에너지생산 외,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,발생가스총포집량,발생가스 총 포집량 중 메탄가스량,에너지생산,에너지생산,에너지생산,에너지생산,에너지생산,에너지생산 외,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,발생가스총포집량,발생가스 총 포집량 중 메탄가스량,에너지생산,에너지생산,에너지생산,에너지생산,에너지생산,에너지생산 외,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,발생가스총포집량,발생가스 총 포집량 중 메탄가스량,에너지생산,에너지생산,에너지생산,에너지생산,에너지생산,에너지생산 외,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,발생가스총포집량,발생가스 총 포집량 중 메탄가스량,에너지생산,에너지생산,에너지생산,에너지생산,에너지생산,에너지생산 외,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,발생가스총포집량,발생가스 총 포집량 중 메탄가스량,에너지생산,에너지생산,에너지생산,에너지생산,에너지생산,에너지생산 외,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,발생가스총포집량,발생가스 총 포집량 중 메탄가스량,에너지생산,에너지생산,에너지생산,에너지생산,에너지생산,에너지생산 외,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,발생가스총포집량,발생가스 총 포집량 중 메탄가스량,에너지생산,에너지생산,에너지생산,에너지생산,에너지생산,에너지생산 외
"시도(1)",소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,총활용량,발전,냉난방,가스공급,기타,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,총활용량,발전,냉난방,가스공급,기타,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,총활용량,발전,냉난방,가스공급,기타,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,총활용량,발전,냉난방,가스공급,기타,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,총활용량,발전,냉난방,가스공급,기타,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,총활용량,발전,냉난방,가스공급,기타,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,총활용량,발전,냉난방,가스공급,기타,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,총활용량,발전,냉난방,가스공급,기타,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,총활용량,발전,냉난방,가스공급,기타,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,총활용량,발전,냉난방,가스공급,기타,소계
"합계",339,29449,7,652,2755255,837881,160364,512267,165250,274491,9419693,6759706,5745141,2487086,31470,1860634,1365951,1014865,307,29014,7,685,3108219,1731315,173335,1350004,207977,374925,8310885,5172131,5996014,4239451,45252,599027,1112284,765239,296,29072,7,698,3045845,1783863,204789,1428558,150516,269907,10480670,6047043,6467315,3365503,45564,131969,2607142,1078855,313,27832,8,675,3428584,1372593,358677,746882,267034,319091,25457279,9593202,18615734,3276716,45258,9135283,6158477,3027144,331,28167,8,652,3529411,1891065,396153,1154411,340501,243649,33313286,21285944,17389337,5017973,436023,8279079,3656261,2596602,279,41685,8,655,5033275,1979580,409824,1218603,351154,243917,33726900,22512190,17533626,6326307,471598,6505349,4230373,4072916,283,42410,9,729,5034978,2413003,507714,1345983,559306,12275556,49649079,31710281,21913791,6218603,716570,5383155,9595463,8743420,273,35444,9,659,5016956,2514844,582208,1376928,555708,363492,64608896,44139292,38176194,14752589,711264,13866384,8845957,9691041,293,37644,8,640,4666410,957919,343111,246739,368069,2732346,624051,1401007,707288,3860185,76366489,54299393,50696177,9013220,24307,17092205,24566445,13174786,296,36190,10,4908173,1171166,173468,284974,387453,325271,3340625,768598,1344806,1227221,405862,74321371,49269565,33197787,8087855,43902,13996573,11069457,10639065
"서울",39,6147,11,84,903828,195376,29339,79297,86740,6121,4062793,2880803,2880803,1529524,0,1112551,238728,0,35,6161,11,82,1004908,1043256,29339,887286,126631,99419,3637918,2315811,3497801,2507417,0,599027,391357,0,36,6178,11,89,1022052,1044574,29339,931463,83772,92150,5144989,3223013,4405003,2507417,0,131969,1448480,317137,38,6795,11,70,1169616,257519,36535,130097,90887,109686,5916347,3727298,2961298,321431,0,0,2639867,766000,37,6394,11,71,1085307,256619,27645,137605,91369,35371,9011279,5028091,3787699,95618,0,2250290,1441791,1240392,35,6715,11,69,960408,300916,36337,157655,106924,39321,4265824,2559494,1116326,0,45576,0,1070750,1443168,35,6769,11,78,1223916,301229,37424,158883,104922,11540453,8829636,5660142,2821876,247911,0,0,2573965,2838267,34,6461,11,76,835146,293788,37424,156837,99527,46050,8115990,5087434,4034973,933752,0,0,3101221,1052461,36,6617,9,77,911213,149131,123359,18920,6852,305357,44254,166676,94427,28740,8680579,5577604,5563691,85075,0,0,5478616,1718563,26,3319,12,547037,201192,50055,16143,2845,132149,190262,28695,66987,94580,48197,6982327,2226808,4268719,0,0,0,4268719,1229069
"부산",16,195,6,45,29634,12843,698,10474,1671,114228,0,0,0,0,0,0,0,0,14,203,6,49,31745,12711,698,10713,1300,114285,-,-,0,-,-,-,-,-,14,204,6,47,35767,12673,698,10675,1300,1696,0,0,0,0,0,0,0,0,15,1103,7,50,116686,252818,109890,39568,103360,19021,-,-,0,0,0,0,0,0,18,1113,7,48,119713,252818,109890,39568,103360,18467,0,0,0,0,0,0,0,0,15,1146,7,47,122145,252771,109890,39508,103373,18890,0,0,0,0,0,0,0,0,15,1131,7,45,300621,253377,109890,40127,103360,19034,0,0,0,0,0,0,0,0,15,1105,7,43,293064,253375,109890,40125,103360,14806,0,0,0,0,0,0,0,0,15,1108,7,32,277701,90255,0,4945,85310,254168,109451,41357,103360,17474,0,0,0,0,0,0,0,0,16,1402,9,335635,95747,0,2388,93207,152,267455,110779,40647,116029,26322,696331,696331,328987,328987,0,0,0,367344
"대구",1,50,8,7,3404,3417,0,3417,0,108,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,16,8,1,4000,3748,101,3647,0,40,0,0,0,0,0,0,0,0,1,16,8,1,2121,3748,101,3647,0,40,0,0,0,0,0,0,0,0,6,1002,12,24,146697,289239,84000,68578,136661,18341,6003104,3601862,1224112,0,0,0,1224112,2377750,6,1002,12,24,259406,289239,84000,68578,136661,20628,4541354,2724813,1350739,0,0,0,1350739,1374074,7,1042,12,11,284211,126919,17245,108,109566,297892,76893,25038,195961,26435,5500766,3300460,3814389,0,0,3813727,662,1686377,7,1244,11,271835,105633,16144,8103,81036,350,293892,76161,21761,195970,28961,2761794,1657077,1491018,0,0,1168568,322450,166058
